id;codigo;descripcion_diagnostico;estado;num_dias_maximo_solicitud;dias_maximo_evento;capitulo_grupo;categoria_subgrupo;contingencia;tipo_licencia;genero_comfe;cie_min_salud;genero_minsalud;limite_edad_inferior_minsalud;limite_edad_maxima_minsalud;tipo_diagnostico;aplica_notificacion;opcion_liquidacion;diagnostico_centinela;indicio_at_el;observacion1;observacion2;observacion3;observacion4
11;A028;OTRAS INFECCIONES ESPECIFICADAS COMO DEBIDAS A SALMONELLA;1;7;;1;1;1;;A;SI;A;0;999;0;s;I;N;;Z098;;EXAMEN DE SEGUIMIENTO CONSECUTIVO A OTRO TRATAMIENTO POR OTRAS AFECCIONES;
12;A029;INFECCION DEBIDA A SALMONELLA  NO ESPECIFICADA;1;7;;1;1;1;;A;SI;A;0;999;0;s;I;N;;Z099;;EXAMEN DE SEGUIMIENTO CONSECUTIVO A TRATAMIENTO NO ESPECIFICADO POR OTRAS AFECCIONES;
13;A030;SHIGELOSIS DEBIDA A SHIGELLA DYSENTERIAE;1;2;;1;1;1;;A;SI;A;0;999;0;s;I;N;;Z138;;EXAMEN DE PESQUISA ESPECIAL PARA OTRAS ENFERMEDADES Y TRASTORNOS ESPECIFICADOS;
14;A031;SHIGELOSIS DEBIDA A SHIGELLA FLEXNERI;1;2;;1;1;1;;A;SI;A;0;999;0;s;I;N;;Z139;;EXAMEN DE PESQUISA ESPECIAL  NO ESPECIFICADO;
15;A032;SHIGELOSIS DEBIDA A SHIGELLA BOYDII;1;2;;1;1;1;;A;SI;A;0;999;0;s;I;N;;Z711;;PERSONA QUE TEME ESTAR ENFERMA  A QUIEN NO SE HACE DIAGNOSTICO;
16;A033;SHIGELOSIS DEBIDA A SHIGELLA SONNEI;1;2;;1;1;1;;A;SI;A;0;999;0;s;I;N;;Z718;;OTRAS CONSULTAS ESPECIFICADAS;
17;A038;OTRAS SHIGELOSIS;1;2;;1;1;1;;A;SI;A;0;999;0;s;I;N;;Z719;;CONSULTA  NO ESPECIFICADA;
18;A039;SHIGELOSIS DE TIPO NO ESPECIFICADO;1;2;;1;1;1;;A;SI;A;0;999;0;s;I;N;;Z758;;OTROS PROBLEMAS RELACIONADOS CON SERVICIOS MEDICOS Y DE SALUD;
19;A040;INFECCION DEBIDA A ESCHERICHIA COLI ENTEROPATOGENA;1;2;;1;1;1;;A;SI;A;0;999;0;s;I;N;;Z759;;PROBLEMA NO ESPECIFICADO RELACIONADO CON SERVICIOS MEDICOS Y DE SALUD;
20;A041;INFECCION DEBIDA A ESCHERICHIA COLI ENTEROTOXIGENA;1;5;;1;1;1;;A;SI;A;0;999;0;s;I;N;;Z763;;PERSONA SANA QUE ACOMPANA AL ENFERMO;
21;A042;INFECCION DEBIDA A ESCHERICHIA COLI ENTEROINVASIVA;1;5;;1;1;1;;A;SI;A;0;999;0;s;I;N;;Z764;;OTRO HUESPED EN SERVICIOS DE SALUD;
22;A043;INFECCION DEBIDA A ESCHERICHIA COLI ENTEROHEMORRAGICA;1;5;;1;1;1;;A;SI;A;0;999;0;s;I;N;;Z768;;PERSONAS EN CONTACTO CON LOS SERVICIOS DE SALUD EN OTRAS CIRCUNSTANCIAS ESPECIFICADAS;
23;A044;OTRAS INFECCIONES INTESTINALES DEBIDAS A ESCHERICHIA COLI;1;2;;1;1;1;;A;SI;A;0;999;0;s;I;N;;Z769;;PERSONAS EN CONTACTO CON LOS SERVICIOS DE SALUD EN CIRCUNSTANCIAS NO ESPECIFICADAS;
24;A045;ENTERITIS DEBIDA A CAMPYLOBACTER;1;2;;1;1;1;;A;SI;A;0;999;0;s;I;N;;Z929;;HISTORIA PERSONAL DE TRATAMIENTO MEDICO NO ESPECIFICADO;
25;A046;ENTERITIS DEBIDA A YERSINIA ENTEROCOLITICA;1;2;;1;1;1;;A;SI;A;0;999;0;s;I;N;;;;;
26;A047;ENTEROCOLITIS DEBIDA A CLOSTRIDIUM DIFFICILE;1;5;;1;1;1;;A;SI;A;0;999;0;s;I;N;;ESTADO USO CODIGO;0;INACTIVO;
27;A048;OTRAS INFECCIONES INTESTINALES BACTERIANAS ESPECIFICADAS;1;5;;1;1;1;;A;SI;A;0;999;0;s;I;N;;;1;ACTIVO;
28;A049;INFECCION INTESTINAL BACTERIANA  NO ESPECIFICADA;1;6;;1;1;1;;A;SI;A;0;999;0;s;I;N;;;;;
29;A050;INTOXICACION ALIMENTARIA ESTAFILOCOCICA;1;2;;1;1;1;;A;SI;A;0;999;0;s;I;N;;;;;
30;A051;BOTULISMO;1;7;;1;1;1;;A;SI;A;0;999;0;s;I;N;;CONTINGENCIA A LAS QUE APLICAN;1;Eenfermedad General o Accidente de Trabajo o Enfermedad Laboral;
31;A052;INTOXICACION ALIMENTARIA DEBIDA A CLOSTRIDIUM PERFRINGENS CLOSTRIDIUM WELCHII];1;7;;1;1;1;;A;SI;A;0;999;0;s;I;N;;;2;Licencias ;
32;A053;INTOXICACION ALIMENTARIA DEBIDA A VIBRIO PARAHAEMOLYTICUS;1;5;;1;1;1;;A;SI;A;0;999;0;s;I;N;;;;;
33;A054;INTOXICACION ALIMENTARIA DEBIDA A BACILLUS CEREUS;1;5;;1;1;1;;A;SI;A;0;999;0;s;I;N;;LICENCIAS ;1;Maternidad Normal;
34;A058;OTRAS INTOXICACIONES ALIMENTARIAS DEBIDAS A BACTERIAS ESPECIFICADAS;1;5;;1;1;1;;A;SI;A;0;999;0;s;I;N;;;2;Parto no Viable;
35;A059;INTOXICACION ALIMENTARIA BACTERIANA  NO ESPECIFICADA;1;2;;1;1;1;;A;SI;A;0;999;0;s;I;N;;;3;Paternidad;
36;A060;DISENTERIA AMEBIANA AGUDA;1;7;;1;1;1;;A;SI;A;0;999;0;s;I;N;;;4;Parto Prematuro;
37;A061;AMEBIASIS INTESTINAL CRONICA;1;2;;1;1;1;;A;SI;A;0;999;0;s;I;N;;;5;Parto normal Multiple ;
38;A062;COLITIS AMEBIANA NO DISENTERICA;1;5;;1;1;1;;A;SI;A;0;999;0;s;I;N;;;6;Parto Prematuro y Multiple ;
39;A063;AMEBOMA INTESTINAL;1;10;;1;1;1;;A;SI;A;0;999;0;s;I;N;;;7;Maternidad Normal Independiente SMMLV;
40;A064;ABSCESO AMEBIANO DEL HIGADO;1;20;;1;1;1;;A;SI;A;0;999;0;s;I;N;;;8;Parto Prematuro Independiente SMMLV;
41;A065;ABSCESO AMEBIANO DEL PULMON (J99.8*);1;30;;1;1;1;;A;SI;A;0;999;0;s;I;N;;;9;Parto Prematuro y Multiple Independiente SMMLV;
42;A066;ABSCESO AMEBIANO DEL CEREBRO (G07*);1;30;;1;1;1;;A;SI;A;0;999;0;s;I;N;;;10;Fallecimiento de la Madre ;
43;A067;AMEBIASIS CUTANEA;1;20;;1;1;1;;A;SI;A;0;999;0;s;I;N;;;11;Parto Multiple Independiente SMMLV;
44;A068;INFECCION AMEBIANA DE OTRAS LOCALIZACIONES;1;10;;1;1;1;;A;SI;A;0;999;0;s;I;N;;;12;Fallo de Tutela;
45;A069;AMEBIASIS  NO ESPECIFICADA;1;2;;1;1;1;;A;SI;A;0;999;0;s;I;N;;;13;Enfermedad materna grave;
46;A070;BALANTIDIASIS;1;2;;1;1;1;;A;SI;A;0;999;0;s;I;N;;;14;Adopción;
47;A071;GIARDIASIS [LAMBLIASIS];1;2;;1;1;1;;A;SI;A;0;999;0;s;I;N;;;15;PRELICENCIA EN ÉPOCA DEL PARTO (ANTICIPO);
48;A072;CRIPTOSPORIDIOSIS;1;2;;1;1;1;;A;SI;A;0;999;0;s;I;N;;;;;
49;A073;ISOSPORIASIS;1;2;;1;1;1;;A;SI;A;0;999;0;s;I;N;;;;;
50;A078;OTRAS ENFERMEDADES INTESTINALES ESPECIFICADAS DEBIDAS A PROTOZOARIOS;1;2;;1;1;1;;A;SI;A;0;999;0;s;I;N;;Tipo diagnostico reb (Riesgo Especifico de Base);0;Vacio;
51;A079;ENFERMEDAD INTESTINAL DEBIDA A PROTOZOARIOS  NO ESPECIFICADA;1;2;;1;1;1;;A;SI;A;0;999;0;s;I;N;;;;;
52;A080;ENTERITIS DEBIDA A ROTAVIRUS;1;2;;1;1;1;;A;SI;A;0;999;0;s;I;S;;;;;
53;A081;GASTROENTEROPATIA AGUDA DEBIDA AL AGENTE DE NORWALK;1;2;;1;1;1;;A;SI;A;0;999;0;s;I;N;;;5;Enfermedades Huerfanas  (Dx extraidos de base de datos entregada por Área Riesgos) ;
54;A082;ENTERITIS DEBIDA A ADENOVIRUS;1;2;;1;1;1;;A;SI;A;0;999;0;s;I;N;;;;;
55;A083;OTRAS ENTERITIS VIRALES;1;6;;1;1;1;;A;SI;A;0;999;0;s;I;N;;;;;
56;A084;INFECCION INTESTINAL VIRAL  SIN OTRA ESPECIFICACION;1;6;;1;1;1;;A;SI;A;0;999;0;s;I;N;;Aplica_Notificacion (S/N);S;SI ;
57;A085;OTRAS INFECCIONES INTESTINALES ESPECIFICADAS;1;2;;1;1;1;;A;SI;A;0;999;0;s;I;N;;;N;NO ;
58;A090;Otras gastroenteritis y colitis de origen infeccioso;1;3;;1;1;1;;A;NO;;;;0;s;I;N;;;;;
59;A099;Gastroenteritis y colitis de origen no especificado;1;7;;1;1;1;;A;NO;;;;0;s;I;N;;Opción liquidación ;I;Incapacidad;
60;A09X;DIARREA Y GASTROENTERITIS DE PRESUNTO ORIGEN INFECCIOSO;1;6;;1;1;1;;A;SI;A;0;999;0;s;I;N;;;L;Licencia;
61;A150;TUBERCULOSIS DEL PULMON  CONFIRMADA POR HALLAZGO MICROSCOPICO DEL BACILO TUBERCULOSO EN ESPUTO  CON O SIN CULTIVO;1;30;;1;2;1;;A;SI;A;028D;120A;0;s;I;S;;;S;Selección: Se aplicA a Dx con Dias maximo de incapacidad 0 dias;
62;A151;TUBERCULOSIS DEL PULMON  CONFIRMADA UNICAMENTE POR CULTIVO;1;30;;1;2;1;;A;SI;A;028D;120A;0;s;I;N;;;;;
63;A152;TUBERCULOSIS DEL PULMON  CONFIRMADA HISTOLOGICAMENTE;1;30;;1;2;1;;A;SI;A;028D;120A;0;s;I;N;;Diagnosticos centinela ;S;SI (Dx extraidos de base datos entregada por Área Riesgos);
64;A153;TUBERCULOSIS DEL PULMON  CONFIRMADA POR MEDIOS NO ESPECIFICADOS;1;30;;1;2;1;;A;SI;A;028D;120A;0;s;I;S;;;N;NO ;
65;A154;TUBERCULOSIS DE GANGLIOS LINFATICOS INTRATORACICOS  CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE;1;30;;1;2;1;;A;SI;A;028D;120A;0;s;I;S;;;;;
66;A155;TUBERCULOSIS DE LARINGE  TRAQUEA Y BRONQUIOS  CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE;1;30;;1;2;1;;A;SI;A;028D;120A;0;s;I;N;;INDICIO AT-EL;A;ACCIDENTE;
67;A156;PLEURESIA TUBERCULOSA  CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE;1;30;;1;2;1;;A;SI;A;028D;120A;0;s;I;S;;;E;ENFERMEDAD LABORAL;
68;A157;TUBERCULOSIS RESPIRATORIA PRIMARIA  CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE;1;30;;1;2;1;;A;SI;A;028D;120A;0;s;I;S;;;D;ENFERMEDAD LABORAL DIRECTA;
69;A158;OTRAS TUBERCULOSIS RESPIRATORIAS  CONFIRMADAS BACTERIOLOGICA E HISTOLOGICAMENTE;1;30;;1;2;1;;A;SI;A;028D;120A;0;s;I;N;;;;;
70;A159;TUBERCULOSIS RESPIRATORIA NO ESPECIFICADA  CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE;1;30;;1;2;1;;A;SI;A;028D;120A;0;s;I;S;;;;;
71;A160;TUBERCULOSIS DEL PULMON  CON EXAMEN BACTERIOLOGICO E HISTOLOGICO NEGATIVOS;1;30;;1;2;1;;A;SI;A;028D;120A;0;s;I;N;;;;;
72;A161;TUBERCULOSIS DEL PULMON  SIN EXAMEN BACTERIOLOGICO E HISTOLOGICO;1;30;;1;2;1;;A;SI;A;028D;120A;0;s;I;N;;;;;
73;A162;TUBERCULOSIS DEL PULMON  SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA;1;30;;1;2;1;;A;SI;A;028D;120A;0;s;I;N;;;;;
74;A163;TUBERCULOSIS DE GANGLIOS LINFATICOS INTRATORACICOS  SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA;1;30;;1;2;1;;A;SI;A;028D;120A;0;s;I;N;;;;;
75;A164;TUBERCULOSIS DE LARINGE  TRAQUEA Y BRONQUIOS  SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA;1;30;;1;2;1;;A;SI;A;028D;120A;0;s;I;N;;;;;
76;A165;PLEURESIA TUBERCULOSA  SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA;1;30;;1;2;1;;A;SI;A;028D;120A;0;s;I;N;;;;;
77;A167;TUBERCULOSIS RESPIRATORIA PRIMARIA  SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA;1;30;;1;2;1;;A;SI;A;028D;120A;0;s;I;N;;;;;
78;A168;OTRAS TUBERCULOSIS RESPIRATORIAS  SIN MENCION DE CONFIRMACION;1;30;;1;2;1;;A;SI;A;028D;120A;0;s;I;N;;;;;
79;A169;TUBERCULOSIS RESPIRATORIA NO ESPECIFICADA  SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA;1;30;;1;2;1;;A;SI;A;028D;120A;0;s;I;N;;;;;
80;A170;MENINGITIS TUBERCULOSA (G01*);1;30;;1;2;1;;A;SI;A;028D;120A;0;s;I;N;;;;;
81;A171;TUBERCULOMA MENINGEO (G07*);1;30;;1;2;1;;A;SI;A;028D;120A;0;s;I;S;;;;;
82;A178;OTRAS TUBERCULOSIS DEL SISTEMA NERVIOSO;1;30;;1;2;1;;A;SI;A;028D;120A;0;s;I;S;;;;;
83;A179;TUBERCULOSIS DEL SISTEMA NERVIOSO  NO ESPECIFICADA (G99.8*);1;30;;1;2;1;;A;SI;A;028D;120A;0;s;I;S;;;;;
84;A180;TUBERCULOSIS DE HUESOS Y ARTICULACIONES;1;30;;1;2;1;;A;SI;A;028D;120A;0;s;I;N;;;;;
85;A181;TUBERCULOSIS DEL APARATO GENITOURINARIO;1;30;;1;2;1;;A;SI;A;028D;120A;0;s;I;N;;;;;
86;A182;LINFADENOPATIA PERIFERICA TUBERCULOSA;1;30;;1;2;1;;A;SI;A;028D;120A;0;s;I;N;;;;;
87;A183;TUBERCULOSIS DE LOS INTESTINOS  EL PERITONEO Y LOS GANGLIOS MESENTERICOS;1;30;;1;2;1;;A;SI;A;028D;120A;0;s;I;N;;;;;
88;A184;TUBERCULOSIS DE LA PIEL Y EL TEJIDO SUBCUTANEO;1;30;;1;2;1;;A;SI;A;028D;120A;0;s;I;N;;;;;
89;A185;TUBERCULOSIS DEL OJO;1;30;;1;2;1;;A;SI;A;028D;120A;0;s;I;N;;;;;
90;A186;TUBERCULOSIS DEL OIDO;1;30;;1;2;1;;A;SI;A;028D;120A;0;s;I;N;;;;;
91;A187;TUBERCULOSIS DE GLANDULAS SUPRARRENALES (E35.1*);1;30;;1;2;1;;A;SI;A;028D;120A;0;s;I;N;;;;;
92;A188;TUBERCULOSIS DE OTROS ORGANOS ESPECIFICADOS;1;30;;1;2;1;;A;SI;A;028D;120A;0;s;I;N;;;;;
93;A190;TUBERCULOSIS MILIAR AGUDA DE UN SOLO SITIO ESPECIFICADO;1;30;;1;2;1;;A;SI;A;028D;120A;0;s;I;N;;;;;
94;A191;TUBERCULOSIS MILIAR AGUDA DE SITIOS MULTIPLES;1;30;;1;2;1;;A;SI;A;028D;120A;0;s;I;N;;;;;
95;A192;TUBERCULOSIS MILIAR AGUDA  NO ESPECIFICADA;1;30;;1;2;1;;A;SI;A;028D;120A;0;s;I;N;;;;;
96;A198;OTRAS TUBERCULOSIS MILIARES;1;30;;1;2;1;;A;SI;A;028D;120A;0;s;I;N;;;;;
97;A199;TUBERCULOSIS MILIAR  SIN OTRA ESPECIFICACION;1;30;;1;2;1;;A;SI;A;028D;120A;0;s;I;N;;;;;
98;A200;PESTE BUBONICA;1;10;;1;3;1;;A;SI;A;0;999;0;s;I;N;;;;;
99;A201;PESTE CELULOCUTANEA;1;10;;1;3;1;;A;SI;A;0;999;0;s;I;N;;;;;
100;A202;PESTE NEUMONICA;1;10;;1;3;1;;A;SI;A;0;999;0;s;I;N;;;;;
101;A203;MENINGITIS POR PESTE;1;30;;1;3;1;;A;SI;A;0;999;0;s;I;N;;;;;
102;A207;PESTE SEPTICEMICA;1;10;;1;3;1;;A;SI;A;0;999;0;s;I;N;;;;;
103;A208;OTRAS FORMAS DE PESTE;1;10;;1;3;1;;A;SI;A;0;999;0;s;I;N;;;;;
104;A209;PESTE  NO ESPECIFICADA;1;10;;1;3;1;;A;SI;A;0;999;0;s;I;N;;;;;
105;A210;TULAREMIA ULCEROGLANDULAR;1;10;;1;3;1;;A;SI;A;0;999;0;s;I;N;;;;;
106;A211;TULAREMIA OCULOGLANDULAR;1;10;;1;3;1;;A;SI;A;0;999;0;s;I;N;;;;;
107;A212;TULAREMIA PULMONAR;1;10;;1;3;1;;A;SI;A;0;999;0;s;I;N;;;;;
108;A213;TULAREMIA GASTROINTESTINAL;1;10;;1;3;1;;A;SI;A;0;999;0;s;I;N;;;;;
109;A217;TULAREMIA GENERALIZADA;1;10;;1;3;1;;A;SI;A;0;999;0;s;I;N;;;;;
110;A218;OTRAS FORMAS DE TULAREMIA;1;10;;1;3;1;;A;SI;A;0;999;0;s;I;N;;;;;
111;A219;TULAREMIA  NO ESPECIFICADA;1;10;;1;3;1;;A;SI;A;0;999;0;s;I;N;;;;;
112;A220;CARBUNCO CUTANEO;1;7;;1;3;1;;A;SI;A;0;999;0;s;I;N;;;;;
113;A221;CARBUNCO PULMONAR;1;10;;1;3;1;;A;SI;A;0;999;0;s;I;N;;;;;
114;A222;CARBUNCO GASTROINTESTINAL;1;20;;1;3;1;;A;SI;A;0;999;0;s;I;N;;;;;
115;A227;CARBUNCO SEPTICEMICO;1;10;;1;3;1;;A;SI;A;0;999;0;s;I;N;;;;;
116;A228;OTRAS FORMAS DE CARBUNCO;1;10;;1;3;1;;A;SI;A;0;999;0;s;I;N;;;;;
117;A229;CARBUNCO  NO ESPECIFICADO;1;20;;1;3;1;;A;SI;A;0;999;0;s;I;N;;;;;
118;A230;BRUCELOSIS DEBIDA A BRUCELLA MELITENSIS;1;30;;1;3;1;;A;SI;A;0;999;0;s;I;N;E;;;;
119;A231;BRUCELOSIS DEBIDA A BRUCELLA ABORTUS;1;30;;1;3;1;;A;SI;A;0;999;0;s;I;N;E;;;;
120;A232;BRUCELOSIS DEBIDA A BRUCELLA SUIS;1;30;;1;3;1;;A;SI;A;0;999;0;s;I;N;E;;;;
121;A233;BRUCELOSIS DEBIDA A BRUCELLA CANIS;1;30;;1;3;1;;A;SI;A;0;999;0;s;I;N;E;;;;
122;A238;OTRAS BRUCELOSIS;1;30;;1;3;1;;A;SI;A;0;999;0;s;I;N;E;;;;
123;A239;BRUCELOSIS  NO ESPECIFICADA;1;30;;1;3;1;;A;SI;A;0;999;0;s;I;N;E;;;;
124;A240;MUERMO;1;10;;1;3;1;;A;SI;A;0;999;0;s;I;N;;;;;
125;A241;MELIOIDOSIS AGUDA Y FULMINANTE;1;30;;1;3;1;;A;SI;A;0;999;0;s;I;N;;;;;
126;A242;MELIOIDOSIS SUBAGUDA Y CRONICA;1;30;;1;3;1;;A;SI;A;0;999;0;s;I;N;;;;;
127;A243;OTRAS MELIOIDOSIS;1;30;;1;3;1;;A;SI;A;0;999;0;s;I;N;;;;;
128;A244;MELIOIDOSIS  NO ESPECIFICADA;1;30;;1;3;1;;A;SI;A;0;999;0;s;I;N;;;;;
129;A250;ESPIRILOSIS;1;7;;1;3;1;;A;SI;A;0;999;0;s;I;N;;;;;
130;A251;ESTREPTOBACILOSIS;1;10;;1;3;1;;A;SI;A;0;999;0;s;I;N;;;;;
131;A259;FIEBRE POR MORDEDURA DE RATA  NO ESPECIFICADA;1;10;;1;3;1;;A;SI;A;0;999;0;s;I;N;;;;;
132;A260;ERISIPELOIDE CUTANEO;1;15;;1;3;1;;A;SI;A;0;999;0;s;I;N;;;;;
133;A267;SEPTICEMIA POR ERYSIPELOTHRIX;1;30;;1;3;1;;A;SI;A;0;999;0;s;I;N;;;;;
134;A268;OTRAS FORMAS DE ERISIPELOIDE;1;7;;1;3;1;;A;SI;A;0;999;0;s;I;N;;;;;
135;A269;ERISIPELOIDE  NO ESPECIFICADA;1;7;;1;3;1;;A;SI;A;0;999;0;s;I;N;;;;;
136;A270;LEPTOSPIROSIS ICTEROHEMORRAGICA;1;30;;1;3;1;;A;SI;A;0;999;0;s;I;S;E;;;;
137;A278;OTRAS FORMAS DE LEPTOSPIROSIS;1;30;;1;3;1;;A;SI;A;0;999;0;s;I;S;E;;;;
138;A279;LEPTOSPIROSIS  NO ESPECIFICADA;1;30;;1;3;1;;A;SI;A;0;999;0;s;I;S;E;;;;
139;A280;PASTEURELOSIS;1;10;;1;3;1;;A;SI;A;0;999;0;s;I;N;;;;;
140;A281;ENFERMEDAD POR RASGUNO DE GATO;1;7;;1;3;1;;A;SI;A;0;999;0;s;I;N;;;;;
141;A282;YERSINIOSIS EXTRAINTESTINAL;1;10;;1;3;1;;A;SI;A;0;999;0;s;I;N;;;;;
142;A288;OTRAS ENFERMEDADES ZOONOTICAS BACTERIANAS ESPECIFICADAS  NO CLASIFICADAS EN OTRA PARTE;1;5;;1;3;1;;A;SI;A;0;999;0;s;I;N;;;;;
143;A289;ENFERMEDAD ZOONOTICA BACTERIANA  SIN OTRA ESPECIFICACION;1;5;;1;3;1;;A;SI;A;0;999;0;s;I;N;;;;;
144;A300;LEPRA INDETERMINADA;1;30;;1;4;1;;A;SI;A;010A;120A;0;s;I;N;;;;;
145;A301;LEPRA TUBERCULOIDE;1;30;;1;4;1;;A;SI;A;010A;120A;0;s;I;N;;;;;
146;A302;LEPRA TUBERCULOIDE LIMITROFE;1;30;;1;4;1;;A;SI;A;010A;120A;0;s;I;N;;;;;
147;A303;LEPRA LIMITROFE;1;30;;1;4;1;;A;SI;A;010A;120A;0;s;I;N;;;;;
148;A304;LEPRA LEPROMATOSA LIMITROFE;1;30;;1;4;1;;A;SI;A;010A;120A;0;s;I;N;;;;;
149;A305;LEPRA LEPROMATOSA;1;30;;1;4;1;;A;SI;A;010A;120A;0;s;I;N;;;;;
150;A308;OTRAS FORMAS DE LEPRA;1;30;;1;4;1;;A;SI;A;010A;120A;0;s;I;N;;;;;
151;A309;LEPRA  NO ESPECIFICADA;1;30;;1;4;1;;A;SI;A;010A;120A;0;s;I;N;;;;;
152;A310;INFECCIONES POR MICOBACTERIAS PULMONARES;1;30;;1;4;1;;A;SI;A;0;999;0;s;I;N;;;;;
153;A311;INFECCION CUTANEA POR MICOBACTERIAS;1;15;;1;4;1;;A;SI;A;0;999;0;s;I;N;;;;;
154;A318;OTRAS INFECCIONES POR MICOBACTERIAS;1;15;;1;4;1;;A;SI;A;0;999;0;s;I;N;;;;;
155;A319;INFECCION POR MICOBACTERIA  NO ESPECIFICADA;1;15;;1;4;1;;A;SI;A;0;999;0;s;I;N;;;;;
156;A320;LISTERIOSIS CUTANEA;1;10;;1;4;1;;A;SI;A;028D;120A;0;s;I;N;;;;;
157;A321;MENINGITIS Y MENINGOENCEFALITIS LISTERIANA;1;30;;1;4;1;;A;SI;A;028D;120A;0;s;I;N;;;;;
158;A327;SEPTICEMIA LISTERIANA;1;30;;1;4;1;;A;SI;A;028D;120A;0;s;I;N;;;;;
159;A328;OTRAS FORMAS DE LISTERIOSIS;1;30;;1;4;1;;A;SI;A;028D;120A;0;s;I;N;;;;;
160;A329;LISTERIOSIS  NO ESPECIFICADA;1;10;;1;4;1;;A;SI;A;028D;120A;0;s;I;N;;;;;
161;A33X;TETANOS NEONATAL;1;0;;1;4;1;;A;SI;A;000H;027D;0;s;S;N;;;;;
162;A34X;TETANOS OBSTETRICO;1;30;;1;4;1;;F;SI;F;010A;054A;0;s;I;N;;;;;
163;A35X;OTROS TETANOS;1;20;;1;4;1;;A;SI;A;028D;120A;0;s;I;N;;;;;
164;A360;DIFTERIA FARINGEA;1;10;;1;4;1;;A;SI;A;0;999;0;s;I;N;;;;;
165;A361;DIFTERIA NASOFARINGEA;1;15;;1;4;1;;A;SI;A;0;999;0;s;I;N;;;;;
166;A362;DIFTERIA LARINGEA;1;15;;1;4;1;;A;SI;A;0;999;0;s;I;N;;;;;
167;A363;DIFTERIA CUTANEA;1;10;;1;4;1;;A;SI;A;0;999;0;s;I;N;;;;;
168;A368;OTRAS DIFTERIAS;1;10;;1;4;1;;A;SI;A;0;999;0;s;I;N;;;;;
169;A369;DIFTERIA  NO ESPECIFICADA;1;10;;1;4;1;;A;SI;A;0;999;0;s;I;N;;;;;
